CustomerID,TotalSales,OrderCount,AvgOrderValue
344191,1448.07,3,482.69
417873,569.0,1,569.0
418125,353.54,1,353.54
418155,447.1,1,447.1
417282,930.54,1,930.54
417752,255.96,1,255.96
418008,338.25,1,338.25
418163,446.49,1,446.49
417323,58.18,1,58.18
412684,941.63,1,941.63
417260,888.0,1,888.0
418196,401.76,1,401.76
417500,397.6,1,397.6
417785,486.05,1,486.05
116992,801.08,1,801.08
417204,458.81,1,458.81
417833,179.0,1,179.0
417386,539.26,2,269.63
417325,369.24,1,369.24
417564,565.71,1,565.71
224000,982.0,4,245.5
417739,656.33,2,328.17
417258,388.63,1,388.63
394434,448.0,1,448.0
417410,1200.16,2,600.08
416044,563.31,1,563.31
354519,738.0,2,369.0
418210,402.21,1,402.21
417754,257.53,1,257.53
417250,386.1,1,386.1
418194,253.44,1,253.44
417433,322.05,1,322.05
418108,338.25,1,338.25
417667,338.25,1,338.25
416572,325.34,1,325.34
419389,506.96,1,506.96
419878,568.6,1,568.6
419792,446.49,1,446.49
419538,608.48,2,304.24
419489,434.24,1,434.24
419771,718.0,2,359.0
418283,1377.12,3,459.04
419718,193.77,1,193.77
419781,429.0,1,429.0
419464,500.97,1,500.97
419471,420.85,1,420.85
419420,1174.26,3,391.42
419432,871.13,2,435.56
384635,752.1,3,250.7
415862,597.99,1,597.99
415301,528.0,1,528.0
415920,179.0,1,179.0
415692,379.48,1,379.48
415288,350.55,1,350.55
415431,363.66,1,363.66
416139,365.31,1,365.31
334974,1229.65,3,409.88
415882,467.1,1,467.1
415280,392.22,1,392.22
415251,400.83,1,400.83
415521,236.61,1,236.61
415762,255.96,1,255.96
416140,255.96,1,255.96
415560,391.09,1,391.09
415856,344.16,1,344.16
415420,976.8,2,488.4
186674,5019.77,3,1673.26
415972,948.0,1,948.0
415875,449.0,1,449.0
415169,394.9,1,394.9
416135,392.22,1,392.22
414986,665.05,2,332.52
160381,3008.3,3,1002.77
416396,540.55,1,540.55
416714,716.99,1,716.99
150099,79.0,1,79.0
417044,1663.0,3,554.33
416376,620.89,1,620.89
395571,795.2,2,397.6
416786,179.0,1,179.0
416965,410.27,1,410.27
416176,415.01,1,415.01
412709,618.0,2,309.0
416729,257.53,1,257.53
416296,404.1,1,404.1
417138,210.32,1,210.32
416839,406.27,1,406.27
416585,361.58,1,361.58
416310,401.75,1,401.75
416335,419.0,1,419.0
167641,363.0,3,121.0
416186,161.1,1,161.1
