order_id,status,date_created,customer_id,country,product_name,units,amount
550950,5,2020-10-14 20:11:01 UTC,409971,US,SmartDesk 2 Premium,1,449.1
550950,5,2020-10-14 20:11:01 UTC,409971,US,SmartDesk 2 Premium,1,404.1
550950,5,2020-10-14 20:11:01 UTC,409971,US,SmartDesk 2 Premium,5,2020.5
550859,5,2020-10-14 19:17:51 UTC,284780,US,SmartDesk 2 - Home Office,10,4671
550859,5,2020-10-14 19:17:51 UTC,284780,US,L-Shaped SmartDesk,1,665.1
550123,5,2020-10-14 08:10:08 UTC,409369,US,Cable Tray,1,19
522439,1,2020-09-23 00:03:09 UTC,364332,US,ErgoChair 2,1,397.6
547654,5,2020-10-12 20:39:36 UTC,407610,CA,Cable Tray,1,24.83
549600,2,2020-10-14 00:46:38 UTC,408976,US,SmartDesk 2 - Home Office,1,359
549617,27,2020-10-14 00:54:38 UTC,408976,US,SmartDesk 2 - Home Office,1,359
549621,27,2020-10-14 00:55:45 UTC,408976,US,SmartDesk 2 - Home Office,1,359
549706,1,2020-10-14 01:43:27 UTC,409050,US,SmartDesk 2 - Home Office,1,359
550996,5,2020-10-14 21:42:26 UTC,410003,US,Filing Cabinet,1,149
550162,5,2020-10-14 10:11:23 UTC,409389,US,SmartDesk 2 - Home Office,1,359
550564,5,2020-10-14 17:42:04 UTC,409661,US,SmartDesk 2 - Home Office,1,464.26
550495,5,2020-10-14 17:05:08 UTC,409620,US,SmartDesk 2 - Home Office,1,395.64
551098,5,2020-10-14 22:47:31 UTC,410066,US,SmartDesk 2 - Home Office,1,359
549712,1,2020-10-14 01:46:57 UTC,362581,US,SmartDesk 2 - Home Office,1,359
550786,5,2020-10-14 19:39:39 UTC,409844,US,SmartDesk 2 - Home Office,1,359
549893,5,2020-10-14 03:36:32 UTC,409190,US,Ultra Wide LED Desk Lamp,1,69
550042,5,2020-10-14 05:57:52 UTC,409310,US,Flier 2 | Carry-On Plus w/ Pocket,1,69
549793,5,2020-10-14 02:33:26 UTC,409116,US,Filing Cabinet,1,149
550042,5,2020-10-14 05:57:52 UTC,409310,US,Monitor Arm,1,75
549807,1,2020-10-14 02:48:06 UTC,409128,US,ErgoChair 2,1,398.53
549999,5,2020-10-14 05:09:19 UTC,409277,US,SmartDesk - Double Desk,1,739
550607,1,2020-10-14 18:07:41 UTC,47008,US,Filing Cabinet,2,364.2
550584,27,2020-10-14 17:55:25 UTC,179599,US,Filing Cabinet,2,338
550586,5,2020-10-14 17:55:36 UTC,179599,US,Filing Cabinet,2,338
550821,18,2020-10-14 19:57:15 UTC,409870,US,Filing Cabinet,2,338
550472,5,2020-10-14 16:56:51 UTC,409615,US,Filing Cabinet,5,845
550695,1,2020-10-14 18:53:15 UTC,409781,US,SmartDesk 2 Premium,2,1100.3
551011,5,2020-10-14 21:48:52 UTC,386592,US,SmartDesk 2 Premium,1,543.31
550900,5,2020-10-14 20:46:49 UTC,403683,US,Anti Fatigue Mats,1,39
550821,18,2020-10-14 19:57:15 UTC,409870,US,SmartDesk 2 - Home Office,2,758
549814,5,2020-10-14 02:54:35 UTC,120248,US,"Flier 2 | Check-In Medium 24""",1,79
550042,5,2020-10-14 05:57:52 UTC,409310,US,"Flier 2 | Check-In Medium 24""",1,79
550871,6,2020-10-14 20:26:21 UTC,409911,US,ErgoChair 2,2,698
550600,5,2020-10-14 18:04:44 UTC,409713,US,Graphene Antiviral Mask,2,63.28
551151,5,2020-10-14 23:17:05 UTC,410114,US,LED Desk Lamp,1,75.21
550080,5,2020-10-14 06:41:31 UTC,409335,US,LED Desk Lamp,1,75.39
549907,5,2020-10-14 03:50:56 UTC,409208,US,LED Desk Lamp,1,69
550042,5,2020-10-14 05:57:52 UTC,409310,US,LED Desk Lamp,1,69
550240,5,2020-10-14 13:17:36 UTC,409006,US,LED Desk Lamp,2,138
549714,5,2020-10-14 01:47:55 UTC,409056,US,LED Desk Lamp,2,138
550964,2,2020-10-14 21:20:08 UTC,409979,US,Cable Tray,1,20.76
551199,5,2020-10-14 23:46:08 UTC,410145,US,Cable Tray,1,20.76
550695,1,2020-10-14 18:53:15 UTC,409781,US,Cable Tray,2,41.9
551222,5,2020-10-14 23:58:36 UTC,373795,US,Cable Tray,1,20.9
550110,5,2020-10-14 07:29:14 UTC,257891,US,Cable Tray,1,20.9
550184,5,2020-10-14 11:09:41 UTC,409404,US,Cable Tray,1,20.57
550756,5,2020-10-14 19:25:52 UTC,340226,US,Cable Tray,1,20.86
550694,5,2020-10-14 18:53:01 UTC,409780,US,Cable Tray,1,20.48
550739,5,2020-10-14 19:18:37 UTC,329735,US,Cable Tray,1,20.77
551007,5,2020-10-14 21:46:49 UTC,409979,US,Cable Tray,1,20.76
550892,5,2020-10-14 20:44:55 UTC,409927,US,Cable Tray,1,20.69
549577,5,2020-10-14 00:30:13 UTC,408955,US,Cable Tray,1,20.89
551070,5,2020-10-14 22:29:39 UTC,410052,US,Cable Tray,1,20.71
549779,5,2020-10-14 02:27:29 UTC,409107,US,Cable Tray,1,20.92
550846,5,2020-10-14 20:12:46 UTC,409892,US,Cable Tray,1,20.58
550135,5,2020-10-14 08:29:22 UTC,384162,US,Cable Tray,1,20.76
550079,11,2020-10-14 06:41:16 UTC,409315,US,Cable Tray,1,20.57
551219,6,2020-10-14 23:57:32 UTC,410161,US,Cable Tray,1,20.71
551011,5,2020-10-14 21:48:52 UTC,386592,US,Cable Tray,1,20.69
550157,5,2020-10-14 09:27:48 UTC,13222,US,Cable Tray,1,20.57
549687,5,2020-10-14 01:35:48 UTC,92945,US,Cable Tray,1,20.69
550579,5,2020-10-14 17:53:19 UTC,390274,US,Cable Tray,1,20.81
550956,5,2020-10-14 21:15:41 UTC,409972,US,Cable Tray,1,20.48
550096,5,2020-10-14 06:59:10 UTC,409344,US,Cable Tray,1,20.76
550132,5,2020-10-14 08:25:29 UTC,404478,US,Cable Tray,1,20.57
550832,5,2020-10-14 20:02:16 UTC,409838,US,Cable Tray,1,20.71
550762,5,2020-10-14 19:28:42 UTC,409828,US,Cable Tray,1,20.9
551062,5,2020-10-14 22:22:19 UTC,410044,US,Cable Tray,1,20.57
551159,0,2020-10-14 23:18:45 UTC,410118,US,Cable Tray,1,20.62
551151,5,2020-10-14 23:17:05 UTC,410114,US,Cable Tray,1,20.71
550853,5,2020-10-14 20:15:40 UTC,195997,US,Cable Tray,1,20.64
550048,5,2020-10-14 06:08:25 UTC,271811,US,Cable Tray,1,20.76
549553,5,2020-10-14 00:13:00 UTC,408939,US,Cable Tray,2,41.61
549624,5,2020-10-14 00:57:10 UTC,408993,US,Cable Tray,2,41.8
550827,5,2020-10-14 20:00:47 UTC,409877,US,Cable Tray,2,41.19
550781,5,2020-10-14 19:37:28 UTC,409840,US,Cable Tray,2,40.95
550054,5,2020-10-14 06:12:30 UTC,299630,US,Cable Tray,2,41.61
550086,11,2020-10-14 06:49:22 UTC,406677,US,Cable Tray,1,19
550871,6,2020-10-14 20:26:21 UTC,409911,US,Cable Tray,2,38
550038,2,2020-10-14 05:55:18 UTC,409301,US,Cable Tray,1,19
550889,27,2020-10-14 20:42:47 UTC,409204,US,Cable Tray,1,19
549938,27,2020-10-14 04:15:40 UTC,409231,US,Cable Tray,1,19
550928,27,2020-10-14 20:59:50 UTC,409950,US,Cable Tray,1,19
550924,27,2020-10-14 20:58:56 UTC,409950,US,Cable Tray,1,19
549901,27,2020-10-14 03:45:42 UTC,409204,US,Cable Tray,1,19
551045,5,2020-10-14 22:10:18 UTC,280865,US,Cable Tray,1,19
549918,5,2020-10-14 03:57:42 UTC,409150,US,Cable Tray,1,19
549978,5,2020-10-14 04:50:14 UTC,237842,US,Cable Tray,1,19
549893,5,2020-10-14 03:36:32 UTC,409190,US,Cable Tray,1,19
549782,11,2020-10-14 02:30:01 UTC,409110,US,Cable Tray,1,19
551109,5,2020-10-14 22:51:57 UTC,166746,US,Cable Tray,1,19
551128,5,2020-10-14 23:02:59 UTC,410097,US,Cable Tray,1,19
549745,5,2020-10-14 02:06:03 UTC,409083,US,Cable Tray,1,19
549977,5,2020-10-14 04:49:54 UTC,409263,US,Cable Tray,1,19
550847,5,2020-10-14 20:13:04 UTC,409893,US,Cable Tray,1,19
550245,5,2020-10-14 13:28:49 UTC,386889,US,Cable Tray,1,19
551170,6,2020-10-14 23:25:34 UTC,410124,US,Cable Tray,1,19
549991,5,2020-10-14 04:59:49 UTC,409271,US,Cable Tray,1,19
550470,5,2020-10-14 16:55:49 UTC,409614,US,Cable Tray,1,19
550485,5,2020-10-14 17:02:21 UTC,409623,US,Cable Tray,1,19
549689,5,2020-10-14 01:36:37 UTC,374385,US,Cable Tray,1,19
550235,5,2020-10-14 13:08:21 UTC,409432,US,Cable Tray,1,19
551037,5,2020-10-14 22:04:57 UTC,410021,US,Cable Tray,1,19
550405,5,2020-10-14 16:04:46 UTC,409231,US,Cable Tray,1,19
550657,5,2020-10-14 18:32:55 UTC,409752,US,Cable Tray,1,19
550761,5,2020-10-14 19:28:40 UTC,409827,US,Cable Tray,1,19
549961,5,2020-10-14 04:32:45 UTC,404795,US,Cable Tray,1,19
551051,11,2020-10-14 22:14:50 UTC,410035,US,Cable Tray,1,19
550971,1,2020-10-14 21:23:44 UTC,409950,US,Cable Tray,1,19
549924,5,2020-10-14 04:06:25 UTC,408932,US,Cable Tray,1,19
549607,5,2020-10-14 00:49:19 UTC,408981,US,Cable Tray,1,19
550231,5,2020-10-14 13:06:13 UTC,409429,US,Cable Tray,1,19
550017,5,2020-10-14 05:33:06 UTC,409290,US,Cable Tray,1,19
549594,5,2020-10-14 00:44:24 UTC,408972,US,Cable Tray,1,19
549860,6,2020-10-14 03:21:08 UTC,218064,US,Cable Tray,1,19
549995,5,2020-10-14 05:02:12 UTC,110724,US,Cable Tray,1,19
550771,6,2020-10-14 19:32:16 UTC,409831,US,Cable Tray,1,19
551189,1,2020-10-14 23:37:49 UTC,365144,US,Cable Tray,1,19
549684,5,2020-10-14 01:34:21 UTC,409031,US,Cable Tray,1,19
549834,5,2020-10-14 03:04:32 UTC,99689,US,Cable Tray,1,19
549738,5,2020-10-14 02:02:49 UTC,409077,US,Cable Tray,1,19
550637,5,2020-10-14 18:20:40 UTC,409740,US,Cable Tray,1,19
550299,5,2020-10-14 14:33:57 UTC,379754,US,Cable Tray,1,19
551004,1,2020-10-14 21:45:36 UTC,409995,US,Cable Tray,1,19
550923,5,2020-10-14 20:58:52 UTC,141894,US,Cable Tray,2,38
550472,5,2020-10-14 16:56:51 UTC,409615,US,Cable Tray,6,114
550694,5,2020-10-14 18:53:01 UTC,409780,US,L-Shaped SmartDesk,1,796.28
550827,5,2020-10-14 20:00:47 UTC,409877,US,L-Shaped SmartDesk,1,739
550762,5,2020-10-14 19:28:42 UTC,409828,US,L-Shaped SmartDesk,1,812.9
550607,1,2020-10-14 18:07:41 UTC,47008,US,L-Shaped SmartDesk,1,796.28
550864,27,2020-10-14 20:22:06 UTC,135533,US,L-Shaped SmartDesk,1,739
550924,27,2020-10-14 20:58:56 UTC,409950,US,L-Shaped SmartDesk,1,739
550928,27,2020-10-14 20:59:50 UTC,409950,US,L-Shaped SmartDesk,1,739
550146,27,2020-10-14 08:45:27 UTC,135533,US,L-Shaped SmartDesk,1,739
549714,5,2020-10-14 01:47:55 UTC,409056,US,L-Shaped SmartDesk,1,739
550871,6,2020-10-14 20:26:21 UTC,409911,US,L-Shaped SmartDesk,2,1478
549924,5,2020-10-14 04:06:25 UTC,408932,US,L-Shaped SmartDesk,1,739
550923,5,2020-10-14 20:58:52 UTC,141894,US,L-Shaped SmartDesk,1,739
549990,5,2020-10-14 04:59:14 UTC,409270,US,L-Shaped SmartDesk,1,739
550821,18,2020-10-14 19:57:15 UTC,409870,US,L-Shaped SmartDesk,1,739
550892,5,2020-10-14 20:44:55 UTC,409927,US,Monitor Arm,1,92.55
550827,5,2020-10-14 20:00:47 UTC,409877,US,Monitor Arm,1,92.12
549986,5,2020-10-14 04:55:06 UTC,366251,US,Monitor Arm,1,93.59
